	tr|A0A151U3S7|A0A151U3S7_CAJCA	tr|A0A1S2Y1S8|A0A1S2Y1S8_CICAR	tr|A0A4D6M8B4|A0A4D6M8B4_VIGUN	tr|G8GUK7|G8GUK7_ARAHY	tr|Q19AK8|Q19AK8_SOYBN	tr|Q5FBA1|Q5FBA1_SOYBN	XP_013467668.1
tr|A0A151U3S7|A0A151U3S7_CAJCA	100.0	68.9	81.2	73.1	70.4	71.0	79.6
tr|A0A1S2Y1S8|A0A1S2Y1S8_CICAR	68.9	100.0	71.2	78.0	79.2	78.9	72.8
tr|A0A4D6M8B4|A0A4D6M8B4_VIGUN	81.2	71.2	100.0	75.2	73.6	74.4	77.8
tr|G8GUK7|G8GUK7_ARAHY	73.1	78.0	75.2	100.0	83.9	83.9	76.0
tr|Q19AK8|Q19AK8_SOYBN	70.4	79.2	73.6	83.9	100.0	93.8	73.9
tr|Q5FBA1|Q5FBA1_SOYBN	71.0	78.9	74.4	83.9	93.8	100.0	73.1
XP_013467668.1	79.6	72.8	77.8	76.0	73.9	73.1	100.0
