	tr|G8GUK7|G8GUK7_ARAHY	tr|Q5FBA1|Q5FBA1_SOYBN	tr|Q19AK8|Q19AK8_SOYBN	tr|A0A1S2Y1S8|A0A1S2Y1S8_CICAR	tr|A0A4D6M8B4|A0A4D6M8B4_VIGUN	tr|A0A151U3S7|A0A151U3S7_CAJCA	tr|E2JFD6|E2JFD6_PHAVU	tr|A0A9D4W617|A0A9D4W617_PEA	tr|A0A1S3V1H8|A0A1S3V1H8_VIGRR	XP_013467668.1	sp|P46313|FAD6E_ARATH
tr|G8GUK7|G8GUK7_ARAHY	100.0	83.9	83.9	78.0	75.2	73.1	76.0	73.4	80.2	76.0	71.0
tr|Q5FBA1|Q5FBA1_SOYBN	83.9	100.0	93.8	78.9	74.4	71.0	72.8	72.6	85.2	73.1	69.1
tr|Q19AK8|Q19AK8_SOYBN	83.9	93.8	100.0	79.2	73.6	70.4	73.4	72.3	84.1	73.9	68.6
tr|A0A1S2Y1S8|A0A1S2Y1S8_CICAR	78.0	78.9	79.2	100.0	71.2	68.9	71.5	70.7	77.0	72.8	67.8
tr|A0A4D6M8B4|A0A4D6M8B4_VIGUN	75.2	74.4	73.6	71.2	100.0	81.2	93.5	76.2	69.8	78.3	76.0
tr|A0A151U3S7|A0A151U3S7_CAJCA	73.1	71.0	70.4	68.9	81.2	100.0	81.7	78.6	67.7	79.4	75.2
tr|E2JFD6|E2JFD6_PHAVU	76.0	72.8	73.4	71.5	93.5	81.7	100.0	77.0	69.6	79.4	76.0
tr|A0A9D4W617|A0A9D4W617_PEA	73.4	72.6	72.3	70.7	76.2	78.6	77.0	100.0	70.7	89.6	73.4
tr|A0A1S3V1H8|A0A1S3V1H8_VIGRR	80.2	85.2	84.1	77.0	69.8	67.7	69.6	70.7	100.0	71.7	67.5
XP_013467668.1	76.0	73.1	73.9	72.8	78.3	79.4	79.4	89.6	71.7	100.0	74.4
sp|P46313|FAD6E_ARATH	71.0	69.1	68.6	67.8	76.0	75.2	76.0	73.4	67.5	74.4	100.0
